Blows in combat also suffer a -1 on the dice roll to hit.	0 0 0 0 0 0 0 1 0 0 1 0 0	on a roll	literal	combined-other	NOUN ADP NOUN ADV VERB DET NOUN ADP DET NOUN NOUN PART VERB	▁B low s ▁in ▁combat ▁also ▁suffer ▁a ▁-1 ▁on ▁the ▁dic e ▁roll ▁to ▁hit .	0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0	NOUN NOUN NOUN ADP NOUN ADV VERB DET NOUN ADP DET NOUN NOUN NOUN PART VERB VERB
Checks should be made that the total on the tally roll of all the tills in restaurants, bars, and cash desks should agree with the cash returned by the cashiers.	0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on a roll	literal	combined-other	NOUN VERB VERB VERB ADP DET NOUN ADP DET NOUN NOUN ADP ADJ DET NOUN ADP NOUN NOUN CCONJ NOUN NOUN VERB VERB ADP DET NOUN VERB ADP DET NOUN	▁Checks ▁should ▁be ▁made ▁that ▁the ▁total ▁on ▁the ▁t ally ▁roll ▁of ▁all ▁the ▁till s ▁in ▁restaurants , ▁bars , ▁and ▁cash ▁desk s ▁should ▁agree ▁with ▁the ▁cash ▁returned ▁by ▁the ▁cash ier s .	0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	NOUN VERB VERB VERB ADP DET NOUN ADP DET NOUN NOUN NOUN ADP ADJ DET NOUN NOUN ADP NOUN NOUN NOUN NOUN CCONJ NOUN NOUN NOUN VERB VERB ADP DET NOUN VERB ADP DET NOUN NOUN NOUN NOUN
' Those were all done on one roll of film ' he explained, ' Because they had to be instantaneous and I knew if I went back again, it would not be the same.	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on a roll	literal	determiner-broad	PUNCT DET VERB DET VERB ADP NUM NOUN ADP NOUN PUNCT PRON VERB PUNCT ADP PRON VERB PART VERB ADJ CCONJ PRON VERB ADP PRON VERB ADV ADV PRON VERB ADV VERB DET ADJ	▁' ▁T hose ▁were ▁all ▁done ▁on ▁one ▁roll ▁of ▁film ▁' ▁he ▁explained , ▁' ▁Because ▁they ▁had ▁to ▁be ▁instantaneous ▁and ▁I ▁knew ▁if ▁I ▁went ▁back ▁again , ▁it ▁would ▁not ▁be ▁the ▁same .	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PUNCT DET DET VERB DET VERB ADP NUM NOUN ADP NOUN PUNCT PRON VERB VERB PUNCT ADP PRON VERB PART VERB ADJ CCONJ PRON VERB ADP PRON VERB ADV ADV ADV PRON VERB ADV VERB DET ADJ ADJ
You 're on a roll.	0 0 1 0 1	on a roll	figurative	identical	PRON VERB ADP DET NOUN	▁You ▁' re ▁on ▁a ▁roll .	0 0 0 1 0 1 1	PRON VERB VERB ADP DET NOUN NOUN
I bought him a red hot, a sort of sausage on a roll with mustard.	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0	on a roll	literal	identical	PRON VERB PRON DET ADJ NOUN DET NOUN ADP NOUN ADP DET NOUN ADP NOUN	▁I ▁bought ▁him ▁a ▁red ▁hot , ▁a ▁sort ▁of ▁sa us age ▁on ▁a ▁roll ▁with ▁mustard .	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	PRON VERB PRON DET ADJ NOUN NOUN DET NOUN ADP NOUN NOUN NOUN ADP DET NOUN ADP NOUN NOUN
Reports that the numbers registering on the electoral rolls are falling ( Weekend World, 11 October 1987 ; the Independent, 23 February 1988, p. 6 ) indicate that the political arithmetic will also play its part.	0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on a roll	literal	combined-inflection	NOUN ADP DET NOUN VERB ADP DET ADJ NOUN VERB VERB PUNCT PROPN PROPN NUM PROPN NUM PUNCT DET PROPN NUM PROPN NUM NOUN NUM PUNCT VERB ADP DET ADJ ADJ VERB ADV VERB ADJ NOUN	▁Reports ▁that ▁the ▁numbers ▁register ing ▁on ▁the ▁elector al ▁rolls ▁are ▁falling ▁( ▁Week end ▁World , ▁11 ▁October ▁1987 ▁ ; ▁the ▁Independent , ▁23 ▁February ▁1988 , ▁p . ▁6 ▁ ) ▁indicate ▁that ▁the ▁political ▁arithmetic ▁will ▁also ▁play ▁its ▁part .	0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	NOUN ADP DET NOUN VERB VERB ADP DET ADJ ADJ NOUN VERB VERB PUNCT PROPN PROPN PROPN PROPN NUM PROPN NUM PUNCT PUNCT DET PROPN PROPN NUM PROPN NUM NUM NOUN NOUN NUM PUNCT PUNCT VERB ADP DET ADJ ADJ VERB ADV VERB ADJ NOUN NOUN
Models whose bases lie under the rest of the template are hit on the D6 roll of a 4 +.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0	on a roll	literal	combined-other	NOUN ADJ NOUN VERB ADP DET NOUN ADP DET NOUN VERB VERB ADP DET NOUN NOUN ADP DET NUM SYM	▁Model s ▁whose ▁bases ▁lie ▁under ▁the ▁rest ▁of ▁the ▁template ▁are ▁hit ▁on ▁the ▁D 6 ▁roll ▁of ▁a ▁4 ▁+ .	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0	NOUN NOUN ADJ NOUN VERB ADP DET NOUN ADP DET NOUN VERB VERB ADP DET NOUN NOUN NOUN ADP DET NUM SYM SYM
School G is a mixed 11–18 comprehensive with 1,500 pupils on its roll.	0 0 0 0 0 0 0 0 0 0 1 0 1	on a roll	literal	determiner-broad	NOUN NOUN VERB DET ADJ NUM ADJ ADP NUM NOUN ADP ADJ NOUN	▁School ▁G ▁is ▁a ▁mixed ▁11 – 18 ▁comprehensive ▁with ▁1 , 500 ▁pupils ▁on ▁its ▁roll .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	NOUN NOUN VERB DET ADJ NUM NUM NUM ADJ ADP NUM NUM NUM NOUN ADP ADJ NOUN NOUN
Swindon are on a roll at the moment and when things are going right, you can't go wrong.	0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	on a roll	figurative	identical	PROPN VERB ADP DET NOUN ADP DET NOUN CCONJ ADV NOUN VERB VERB ADV PRON VERB VERB ADJ	▁S wind on ▁are ▁on ▁a ▁roll ▁at ▁the ▁moment ▁and ▁when ▁things ▁are ▁going ▁right , ▁you ▁can ' t ▁go ▁wrong .	0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN VERB ADP DET NOUN ADP DET NOUN CCONJ ADV NOUN VERB VERB ADV ADV PRON VERB VERB VERB VERB ADJ ADJ
I lunched on a cheese roll and a packet of crisps while Bunny — no day is wasted — chatted up the sulking wife or girlfriend of one of the lunch - time Real Ale bores who was drinking his way round the hand - pumps with a group of mates.	0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on a roll	literal	insertion-other	PRON VERB ADP DET NOUN NOUN CCONJ DET NOUN ADP NOUN ADP NOUN PUNCT DET NOUN VERB VERB PUNCT VERB PART DET VERB NOUN CCONJ NOUN ADP NUM ADP DET NOUN PUNCT NOUN PROPN PROPN NOUN NOUN VERB VERB ADJ NOUN ADP DET NOUN PUNCT NOUN ADP DET NOUN ADP NOUN	▁I ▁lunch ed ▁on ▁a ▁cheese ▁roll ▁and ▁a ▁packet ▁of ▁cri s ps ▁while ▁B un ny ▁ — ▁no ▁day ▁is ▁wasted ▁ — ▁cha tted ▁up ▁the ▁sul king ▁wife ▁or ▁girl fri end ▁of ▁one ▁of ▁the ▁lunch ▁- ▁time ▁Real ▁Al e ▁bore s ▁who ▁was ▁drinking ▁his ▁way ▁round ▁the ▁hand ▁- ▁pumps ▁with ▁a ▁group ▁of ▁mate s .	0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB VERB ADP DET NOUN NOUN CCONJ DET NOUN ADP NOUN NOUN NOUN ADP NOUN NOUN NOUN PUNCT PUNCT DET NOUN VERB VERB PUNCT PUNCT VERB VERB PART DET VERB VERB NOUN CCONJ NOUN NOUN NOUN ADP NUM ADP DET NOUN PUNCT NOUN PROPN PROPN PROPN NOUN NOUN NOUN VERB VERB ADJ NOUN ADP DET NOUN PUNCT NOUN ADP DET NOUN ADP NOUN NOUN NOUN
Tranmere were on a roll and, to be fair, there are not many First Division sides that can stop them at their best.	0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on a roll	figurative	identical	PROPN VERB ADP DET NOUN CCONJ PART VERB ADJ ADV VERB ADV ADJ PROPN PROPN NOUN ADJ VERB VERB PRON ADP ADJ ADJ	▁T ran mer e ▁were ▁on ▁a ▁roll ▁and , ▁to ▁be ▁fair , ▁there ▁are ▁not ▁many ▁First ▁Division ▁sides ▁that ▁can ▁stop ▁them ▁at ▁their ▁best .	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN PROPN VERB ADP DET NOUN CCONJ CCONJ PART VERB ADJ ADJ ADV VERB ADV ADJ PROPN PROPN NOUN ADJ VERB VERB PRON ADP ADJ ADJ ADJ
The fullest version of Gloucester's arguments is to be found on the parliament roll of January 1484 and purports to be the petition presented to Gloucester when he was asked to take the throne in June.	0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on a roll	literal	combined-other	DET ADJ NOUN ADP PROPN NOUN VERB PART VERB VERB ADP DET NOUN NOUN ADP PROPN NUM CCONJ NOUN PART VERB DET NOUN VERB ADP PROPN ADV PRON VERB VERB PART VERB DET NOUN ADP PROPN	▁The ▁fullest ▁version ▁of ▁G lo uc ester ' s ▁arguments ▁is ▁to ▁be ▁found ▁on ▁the ▁parliament ▁roll ▁of ▁January ▁14 84 ▁and ▁purport s ▁to ▁be ▁the ▁petition ▁presented ▁to ▁G lo uc ester ▁when ▁he ▁was ▁asked ▁to ▁take ▁the ▁throne ▁in ▁June .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET ADJ NOUN ADP PROPN PROPN PROPN PROPN PROPN PROPN NOUN VERB PART VERB VERB ADP DET NOUN NOUN ADP PROPN NUM NUM CCONJ NOUN NOUN PART VERB DET NOUN VERB ADP PROPN PROPN PROPN PROPN ADV PRON VERB VERB PART VERB DET NOUN ADP PROPN PROPN
' I shouldn't be a bit surprised, ' said Burden, spreading butter on his roll.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	on a roll	literal	determiner-broad	PUNCT PRON VERB VERB DET NOUN ADJ PUNCT VERB PROPN VERB NOUN ADP ADJ NOUN	▁' ▁I ▁should n ' t ▁be ▁a ▁bit ▁surprised , ▁' ▁said ▁Bur den , ▁spreading ▁butter ▁on ▁his ▁roll .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	PUNCT PRON VERB VERB VERB VERB VERB DET NOUN ADJ ADJ PUNCT VERB PROPN PROPN PROPN VERB NOUN ADP ADJ NOUN NOUN
‘ Hey, Matt,’ I say to him, ‘ We 're on a roll, let's go with the flow’, and he nods like some old prophet in The Ten Commandments.	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on a roll	figurative	identical	PUNCT INTJ PROPN PRON VERB ADP PRON PUNCT PRON VERB ADP DET NOUN VERB VERB ADP DET NOUN CCONJ PRON VERB ADP DET ADJ NOUN ADP DET PROPN PROPN	▁ ‘ ▁He y , ▁Matt , ’ ▁I ▁say ▁to ▁him , ▁ ‘ ▁We ▁' re ▁on ▁a ▁roll , ▁let ' s ▁go ▁with ▁the ▁flow ’ , ▁and ▁he ▁no ds ▁like ▁some ▁old ▁prophet ▁in ▁The ▁Ten ▁Command ments .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PUNCT PUNCT INTJ INTJ INTJ PROPN PROPN PROPN PRON VERB ADP PRON PRON PUNCT PUNCT PRON VERB VERB ADP DET NOUN NOUN VERB VERB VERB VERB ADP DET NOUN NOUN NOUN CCONJ PRON VERB VERB ADP DET ADJ NOUN ADP DET PROPN PROPN PROPN PROPN
Perhaps that is the luxury of being on the pay - roll of a monopoly subsidised by the Government?	0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0	on a roll	literal	combined-other	ADV DET VERB DET NOUN ADP VERB ADP DET NOUN PUNCT NOUN ADP DET NOUN VERB ADP DET PROPN	▁Perhaps ▁that ▁is ▁the ▁luxury ▁of ▁being ▁on ▁the ▁pay ▁- ▁roll ▁of ▁a ▁monopoly ▁subsidised ▁by ▁the ▁Government ?	0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0	ADV DET VERB DET NOUN ADP VERB ADP DET NOUN PUNCT NOUN ADP DET NOUN VERB ADP DET PROPN PROPN
In his last years he featured in a number of important legal cases, and also became the subject of a famous caricature drawn on a tallage roll of 1233.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0	on a roll	literal	insertion-other	ADP ADJ ADJ NOUN PRON VERB ADP DET NOUN ADP ADJ ADJ NOUN CCONJ ADV VERB DET NOUN ADP DET ADJ NOUN VERB ADP DET NOUN NOUN ADP NUM	▁In ▁his ▁last ▁years ▁he ▁feature d ▁in ▁a ▁number ▁of ▁important ▁legal ▁cases , ▁and ▁also ▁became ▁the ▁subject ▁of ▁a ▁famous ▁car ic ature ▁drawn ▁on ▁a ▁tall age ▁roll ▁of ▁12 33 .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0	ADP ADJ ADJ NOUN PRON VERB VERB ADP DET NOUN ADP ADJ ADJ NOUN NOUN CCONJ ADV VERB DET NOUN ADP DET ADJ NOUN NOUN NOUN VERB ADP DET NOUN NOUN NOUN ADP NUM NUM NUM
She believes that it prevented many Labour supporters from registering on the electoral roll ( in the hope of avoiding payment ), thus depriving Mr Kinnock of a large number of votes.	0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on a roll	literal	combined-other	PRON VERB ADP PRON VERB ADJ PROPN NOUN ADP VERB ADP DET ADJ NOUN PUNCT ADP DET NOUN ADP VERB NOUN PUNCT ADV VERB PROPN PROPN ADP DET ADJ NOUN ADP NOUN	▁She ▁believes ▁that ▁it ▁prevented ▁many ▁Labour ▁supporters ▁from ▁register ing ▁on ▁the ▁elector al ▁roll ▁( ▁in ▁the ▁hope ▁of ▁avoiding ▁payment ▁ ), ▁thus ▁depriv ing ▁Mr ▁Kin nock ▁of ▁a ▁large ▁number ▁of ▁votes .	0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB ADP PRON VERB ADJ PROPN NOUN ADP VERB VERB ADP DET ADJ ADJ NOUN PUNCT ADP DET NOUN ADP VERB NOUN PUNCT PUNCT ADV VERB VERB PROPN PROPN PROPN ADP DET ADJ NOUN ADP NOUN NOUN
If a spell is directed upon a unit of Stone Trolls it will be automatically dispelled on the D6 roll of a 4, 5 or 6.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0	on a roll	literal	combined-other	ADP DET NOUN VERB VERB ADP DET NOUN ADP PROPN PROPN PRON VERB VERB ADV VERB ADP DET NOUN NOUN ADP DET NUM NUM CCONJ NUM	▁If ▁a ▁spell ▁is ▁directed ▁upon ▁a ▁unit ▁of ▁Stone ▁T roll s ▁it ▁will ▁be ▁automatically ▁di spelled ▁on ▁the ▁D 6 ▁roll ▁of ▁a ▁4, ▁5 ▁or ▁6.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0	ADP DET NOUN VERB VERB ADP DET NOUN ADP PROPN PROPN PROPN PROPN PRON VERB VERB ADV VERB VERB ADP DET NOUN NOUN NOUN ADP DET NUM NUM CCONJ NUM
check batch numbers on rolls to make sure each roll comes from the same batch, and that colours will match.	0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on a roll	literal	deletion-determiner	VERB ADJ NOUN ADP NOUN PART VERB ADJ DET NOUN VERB ADP DET ADJ NOUN CCONJ ADP NOUN VERB VERB	▁check ▁batch ▁numbers ▁on ▁rolls ▁to ▁make ▁sure ▁each ▁roll ▁comes ▁from ▁the ▁same ▁batch , ▁and ▁that ▁colours ▁will ▁match .	0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	VERB ADJ NOUN ADP NOUN PART VERB ADJ DET NOUN VERB ADP DET ADJ NOUN NOUN CCONJ ADP NOUN VERB VERB VERB
Some of those waves at the bottom of the world — I mean you can tell by the look of them they have come from the beginnings of time and will roll right over you and go on rolling for ever.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0	on a roll	literal	deletion-determiner	DET ADP DET NOUN ADP DET NOUN ADP DET NOUN PUNCT PRON VERB PRON VERB VERB ADP DET NOUN ADP PRON PRON VERB VERB ADP DET NOUN ADP NOUN CCONJ VERB VERB ADV ADP PRON CCONJ VERB ADP VERB ADP ADV	▁Some ▁of ▁those ▁waves ▁at ▁the ▁bottom ▁of ▁the ▁world ▁ — ▁I ▁mean ▁you ▁can ▁tell ▁by ▁the ▁look ▁of ▁them ▁they ▁have ▁come ▁from ▁the ▁beginning s ▁of ▁time ▁and ▁will ▁roll ▁right ▁over ▁you ▁and ▁go ▁on ▁rolling ▁for ▁ever .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0	DET ADP DET NOUN ADP DET NOUN ADP DET NOUN PUNCT PUNCT PRON VERB PRON VERB VERB ADP DET NOUN ADP PRON PRON VERB VERB ADP DET NOUN NOUN ADP NOUN CCONJ VERB VERB ADV ADP PRON CCONJ VERB ADP VERB ADP ADV ADV
After a shaky start, the Meteors are on a roll … yesterday against the Solihull Dodgers they were looking for their fifth successive win.	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on a roll	figurative	identical	ADP DET ADJ NOUN DET PROPN VERB ADP DET NOUN PUNCT NOUN ADP DET PROPN PROPN PRON VERB VERB ADP ADJ ADJ ADJ NOUN	▁After ▁a ▁sha ky ▁start , ▁the ▁Met e ors ▁are ▁on ▁a ▁roll ▁... ▁yesterday ▁against ▁the ▁Sol ih ull ▁Do d gers ▁they ▁were ▁looking ▁for ▁their ▁fifth ▁successive ▁win .	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP DET ADJ ADJ NOUN NOUN DET PROPN PROPN PROPN VERB ADP DET NOUN PUNCT NOUN ADP DET PROPN PROPN PROPN PROPN PROPN PROPN PRON VERB VERB ADP ADJ ADJ ADJ NOUN NOUN
The separate school had no Henry Stych on its roll, and the school secretary was left in a state of agonized curiosity at the Advent's interest in such a person.	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on a roll	literal	determiner-broad	DET ADJ NOUN VERB DET PROPN PROPN ADP ADJ NOUN CCONJ DET NOUN NOUN VERB VERB ADP DET NOUN ADP VERB NOUN ADP DET PROPN NOUN ADP ADJ DET NOUN	▁The ▁separate ▁school ▁had ▁no ▁Henry ▁St ych ▁on ▁its ▁roll , ▁and ▁the ▁school ▁secretary ▁was ▁left ▁in ▁a ▁state ▁of ▁a gon ized ▁cur ios ity ▁at ▁the ▁Adv ent ' s ▁interest ▁in ▁such ▁a ▁person .	0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET ADJ NOUN VERB DET PROPN PROPN PROPN ADP ADJ NOUN NOUN CCONJ DET NOUN NOUN VERB VERB ADP DET NOUN ADP VERB VERB VERB NOUN NOUN NOUN ADP DET PROPN PROPN PROPN PROPN NOUN ADP ADJ DET NOUN NOUN
Having won the Australian Open and now the French it means that Seles is on a Grand Slam roll, though she swiftly pointed out that Wimbledon's grass might be her downfall.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0	on a roll	literal	insertion-other	VERB VERB DET PROPN PROPN CCONJ ADV DET PROPN PRON VERB ADP PROPN VERB ADP DET PROPN PROPN NOUN ADP PRON ADV VERB PART ADP PROPN NOUN VERB VERB ADJ NOUN	▁Having ▁won ▁the ▁Australia n ▁Open ▁and ▁now ▁the ▁French ▁it ▁means ▁that ▁Sel es ▁is ▁on ▁a ▁Grand ▁S lam ▁roll , ▁though ▁she ▁swiftly ▁pointed ▁out ▁that ▁Wi mble don ' s ▁grass ▁might ▁be ▁her ▁down fall .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	VERB VERB DET PROPN PROPN PROPN CCONJ ADV DET PROPN PRON VERB ADP PROPN PROPN VERB ADP DET PROPN PROPN PROPN NOUN NOUN ADP PRON ADV VERB PART ADP PROPN PROPN PROPN PROPN PROPN NOUN VERB VERB ADJ NOUN NOUN NOUN
If you roll a misfire on your bounce roll then this merely indicates the ball has stuck in the ground and does not bounce.	0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on a roll	literal	combined-other	ADP PRON VERB DET NOUN ADP ADJ NOUN VERB ADV DET ADV VERB DET NOUN VERB VERB ADP DET NOUN CCONJ VERB ADV VERB	▁If ▁you ▁roll ▁a ▁mis fire ▁on ▁your ▁bo unce ▁roll ▁then ▁this ▁mere ly ▁indicates ▁the ▁ball ▁has ▁stuck ▁in ▁the ▁ground ▁and ▁does ▁not ▁bo unce .	0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP PRON VERB DET NOUN NOUN ADP ADJ NOUN NOUN VERB ADV DET ADV ADV VERB DET NOUN VERB VERB ADP DET NOUN CCONJ VERB ADV VERB VERB VERB
We are on a roll and it's great to be involved.’	0 0 1 0 1 0 0 0 0 0 0	on a roll	figurative	identical	PRON VERB ADP DET NOUN CCONJ PRON ADJ PART VERB ADJ	▁We ▁are ▁on ▁a ▁roll ▁and ▁it ' s ▁great ▁to ▁be ▁involved . ’	0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	PRON VERB ADP DET NOUN CCONJ PRON PRON PRON ADJ PART VERB ADJ ADJ ADJ
It is generally assumed that both texts on British Library Additional MS 23986 are preserved there as fragments of longer originals, and this is certainly true of the Anglo - Norman ballad first written on the roll.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	on a roll	literal	determiner-narrow	PRON VERB ADV VERB ADP DET NOUN ADP PROPN PROPN ADJ PROPN NUM VERB VERB ADV ADP NOUN ADP ADJ NOUN CCONJ DET VERB ADV ADJ ADP DET PROPN PUNCT PROPN NOUN ADV VERB ADP DET NOUN	▁It ▁is ▁generally ▁assumed ▁that ▁both ▁texts ▁on ▁British ▁Library ▁Additional ▁MS ▁239 86 ▁are ▁preserved ▁there ▁as ▁fragments ▁of ▁longer ▁original s , ▁and ▁this ▁is ▁certainly ▁true ▁of ▁the ▁Anglo ▁- ▁Norman ▁ball ad ▁first ▁written ▁on ▁the ▁roll .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	PRON VERB ADV VERB ADP DET NOUN ADP PROPN PROPN ADJ PROPN NUM NUM VERB VERB ADV ADP NOUN ADP ADJ NOUN NOUN NOUN CCONJ DET VERB ADV ADJ ADP DET PROPN PUNCT PROPN NOUN NOUN ADV VERB ADP DET NOUN NOUN
The combination of Census geodemographic and financial profile of each name on the Electoral Roll.	0 0 0 0 0 0 0 0 0 0 0 1 0 0 1	on a roll	literal	combined-other	DET NOUN ADP PROPN ADJ CCONJ ADJ NOUN ADP DET NOUN ADP DET PROPN PROPN	▁The ▁combination ▁of ▁C ens us ▁geo d emographic ▁and ▁financial ▁profile ▁of ▁each ▁name ▁on ▁the ▁Electoral ▁Roll .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1	DET NOUN ADP PROPN PROPN PROPN ADJ ADJ ADJ CCONJ ADJ NOUN ADP DET NOUN ADP DET PROPN PROPN PROPN
The company has devised a system of recording non - copyright material, like discordant brass band music or language tuition, on the bulk rolls of tape as they leave the magnetic coating bath.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0	on a roll	literal	combined-inflection	DET NOUN VERB VERB DET NOUN ADP VERB ADJ PUNCT NOUN NOUN ADP ADJ NOUN NOUN NOUN CCONJ NOUN NOUN ADP DET NOUN NOUN ADP NOUN ADP PRON VERB DET ADJ NOUN NOUN	▁The ▁company ▁has ▁devised ▁a ▁system ▁of ▁recording ▁non ▁- ▁copyright ▁material , ▁like ▁dis cord ant ▁brass ▁band ▁music ▁or ▁language ▁tuition , ▁on ▁the ▁bulk ▁rolls ▁of ▁tape ▁as ▁they ▁leave ▁the ▁magnetic ▁coating ▁bath .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0	DET NOUN VERB VERB DET NOUN ADP VERB ADJ PUNCT NOUN NOUN NOUN ADP ADJ ADJ ADJ NOUN NOUN NOUN CCONJ NOUN NOUN NOUN ADP DET NOUN NOUN ADP NOUN ADP PRON VERB DET ADJ NOUN NOUN NOUN
Well you want to nip over there and see what they come on on the roll.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	on a roll	literal	determiner-narrow	INTJ PRON VERB PART VERB ADV ADV CCONJ VERB NOUN PRON VERB PART ADP DET NOUN	▁Well ▁you ▁want ▁to ▁n ip ▁over ▁there ▁and ▁see ▁what ▁they ▁come ▁on ▁on ▁the ▁roll .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	INTJ PRON VERB PART VERB VERB ADV ADV CCONJ VERB NOUN PRON VERB PART ADP DET NOUN NOUN
