Then once more out of the blue he said quietly, ‘ Are you elect?’	0 0 0 1 1 0 1 0 0 0 0 0 0 0	out of the blue	figurative	identical	ADV ADV ADV ADP ADP DET NOUN PRON VERB ADV PUNCT VERB PRON ADJ	▁Then ▁once ▁more ▁out ▁of ▁the ▁blue ▁he ▁said ▁quiet ly , ▁ ‘ ▁Are ▁you ▁elect ? ’	0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	ADV ADV ADV ADP ADP DET NOUN PRON VERB ADV ADV ADV PUNCT PUNCT VERB PRON ADJ ADJ ADJ
That same week he told Maggie out of the blue that he wanted to see her alone.	0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0	out of the blue	figurative	identical	DET ADJ NOUN PRON VERB PROPN ADP ADP DET NOUN ADJ PRON VERB PART VERB PRON ADJ	▁That ▁same ▁week ▁he ▁told ▁Mag g ie ▁out ▁of ▁the ▁blue ▁that ▁he ▁wanted ▁to ▁see ▁her ▁alone .	0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0	DET ADJ NOUN PRON VERB PROPN PROPN PROPN ADP ADP DET NOUN ADJ PRON VERB PART VERB PRON ADJ ADJ
He drew the conclusion from this that the riot ‘ came like a bolt out of the blue’(Guardian, 21 November 1985 ).	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0	out of the blue	figurative	insertion-determiner	PRON VERB DET NOUN ADP DET ADP DET NOUN PUNCT VERB ADP DET NOUN ADP ADP DET PROPN NUM PROPN NUM PUNCT	▁He ▁drew ▁the ▁conclusion ▁from ▁this ▁that ▁the ▁riot ▁ ‘ ▁came ▁like ▁a ▁bolt ▁out ▁of ▁the ▁blue ’ ( Gu ard ian , ▁21 ▁November ▁1985 ▁ ).	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 1 1 1 1 1 0 0 0 0 0	PRON VERB DET NOUN ADP DET ADP DET NOUN PUNCT PUNCT VERB ADP DET NOUN ADP ADP DET PROPN PROPN PROPN PROPN PROPN PROPN PROPN NUM PROPN NUM PUNCT PUNCT
‘ I was driving Kelly to Great Ormond Street Hospital in London,’ Sandra says, ‘ and out of the blue she said to me : ‘ Mum, what happens when you die?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	out of the blue	figurative	identical	PUNCT PRON VERB VERB PROPN ADP PROPN PROPN PROPN PROPN ADP PROPN PROPN VERB PUNCT CCONJ ADP ADP DET NOUN PRON VERB ADP PRON PUNCT PUNCT PROPN NOUN VERB ADV PRON VERB	▁ ‘ ▁I ▁was ▁driving ▁Kel ly ▁to ▁Great ▁Or mond ▁Street ▁Hospital ▁in ▁London , ’ ▁Sand ra ▁says , ▁ ‘ ▁and ▁out ▁of ▁the ▁blue ▁she ▁said ▁to ▁me ▁ : ▁ ‘ ▁M um , ▁what ▁happens ▁when ▁you ▁die ?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PUNCT PUNCT PRON VERB VERB PROPN PROPN ADP PROPN PROPN PROPN PROPN PROPN ADP PROPN PROPN PROPN PROPN PROPN VERB VERB PUNCT PUNCT CCONJ ADP ADP DET NOUN PRON VERB ADP PRON PUNCT PUNCT PUNCT PUNCT PROPN PROPN PROPN NOUN VERB ADV PRON VERB VERB
all of a sudden saying something about it out of the blue, you know, and	0 0 0 0 0 0 0 0 1 1 0 1 0 0 0	out of the blue	figurative	identical	DET ADP DET ADJ VERB NOUN ADP PRON ADP ADP DET ADJ PRON VERB CCONJ	▁all ▁of ▁a ▁sudden ▁saying ▁something ▁about ▁it ▁out ▁of ▁the ▁blue , ▁you ▁know , ▁and	0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0	DET ADP DET ADJ VERB NOUN ADP PRON ADP ADP DET ADJ ADJ PRON VERB VERB CCONJ
If the two papers had appeared out of the blue, with no preparation of the scientific ground, they would surely have made an enormous impact both among astronomers and in the wider world.	0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out of the blue	figurative	identical	ADP DET NUM NOUN VERB VERB ADP ADP DET ADJ ADP DET NOUN ADP DET ADJ NOUN PRON VERB ADV VERB VERB DET ADJ NOUN CCONJ ADP NOUN CCONJ ADP DET ADJ NOUN	▁If ▁the ▁two ▁papers ▁had ▁appeared ▁out ▁of ▁the ▁blue , ▁with ▁no ▁preparation ▁of ▁the ▁scientific ▁ground , ▁they ▁would ▁surely ▁have ▁made ▁an ▁enormous ▁impact ▁both ▁among ▁as tron omer s ▁and ▁in ▁the ▁wider ▁world .	0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP DET NUM NOUN VERB VERB ADP ADP DET ADJ ADJ ADP DET NOUN ADP DET ADJ NOUN NOUN PRON VERB ADV VERB VERB DET ADJ NOUN CCONJ ADP NOUN NOUN NOUN NOUN CCONJ ADP DET ADJ NOUN NOUN
Lucenzo asked, quite out of the blue.	0 0 0 1 1 0 1	out of the blue	figurative	identical	PROPN VERB ADV ADP ADP DET NOUN	▁Luc en zo ▁asked , ▁quite ▁out ▁of ▁the ▁blue .	0 0 0 0 0 0 1 1 0 1 1	PROPN PROPN PROPN VERB VERB ADV ADP ADP DET NOUN NOUN
Then out of the blue he was given the go - ahead to play again.	0 1 1 0 1 0 0 0 0 0 0 0 0 0 0	out of the blue	figurative	identical	ADV ADP ADP DET NOUN PRON VERB VERB DET NOUN PUNCT NOUN PART VERB ADV	▁Then ▁out ▁of ▁the ▁blue ▁he ▁was ▁given ▁the ▁go ▁- ▁ahead ▁to ▁play ▁again .	0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0	ADV ADP ADP DET NOUN PRON VERB VERB DET NOUN PUNCT NOUN PART VERB ADV ADV
Then she swore out of the blue and said, ‘ The truth is, you know, I suddenly hope Stephen doesn't come again.	0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out of the blue	figurative	identical	ADV PRON VERB ADP ADP DET ADJ CCONJ VERB PUNCT DET NOUN VERB PRON VERB PRON ADV VERB PROPN VERB VERB ADV	▁Then ▁she ▁sw ore ▁out ▁of ▁the ▁blue ▁and ▁said , ▁ ‘ ▁The ▁truth ▁is , ▁you ▁know , ▁I ▁suddenly ▁hope ▁Step hen ▁does n ' t ▁come ▁again .	0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV PRON VERB VERB ADP ADP DET ADJ CCONJ VERB VERB PUNCT PUNCT DET NOUN VERB VERB PRON VERB VERB PRON ADV VERB PROPN PROPN VERB VERB VERB VERB VERB ADV ADV
I said quite out of the blue, ‘ How would you like a baby?’	0 0 0 1 1 0 1 0 0 0 0 0 0 0	out of the blue	figurative	identical	PRON VERB ADV ADP ADP DET ADJ PUNCT ADV VERB PRON VERB DET NOUN	▁I ▁said ▁quite ▁out ▁of ▁the ▁blue , ▁ ‘ ▁How ▁would ▁you ▁like ▁a ▁baby ? ’	0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0	PRON VERB ADV ADP ADP DET ADJ ADJ PUNCT PUNCT ADV VERB PRON VERB DET NOUN NOUN NOUN
Mystical experience never arrives out of the blue ; it is always influenced by the religious milieu of the mystic, even though he may want to transcend the beliefs and attitudes that he found there.	0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out of the blue	figurative	identical	ADJ NOUN ADV VERB ADP ADP DET ADJ PUNCT PRON VERB ADV VERB ADP DET ADJ NOUN ADP DET ADJ ADV ADP PRON VERB VERB PART VERB DET NOUN CCONJ NOUN ADJ PRON VERB ADV	▁My s tical ▁experience ▁never ▁arrive s ▁out ▁of ▁the ▁blue ▁ ; ▁it ▁is ▁always ▁influenced ▁by ▁the ▁religious ▁mil i eu ▁of ▁the ▁my s tic , ▁even ▁though ▁he ▁may ▁want ▁to ▁transcend ▁the ▁belief s ▁and ▁attitudes ▁that ▁he ▁found ▁there .	0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADJ ADJ ADJ NOUN ADV VERB VERB ADP ADP DET ADJ PUNCT PUNCT PRON VERB ADV VERB ADP DET ADJ NOUN NOUN NOUN ADP DET ADJ ADJ ADJ ADJ ADV ADP PRON VERB VERB PART VERB DET NOUN NOUN CCONJ NOUN ADJ PRON VERB ADV ADV
Yeah, well before sh he was born, she stopped doing them and er she phoned up out of the blue and so said to her, no they live at Bognor I think or something.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out of the blue	figurative	identical	INTJ INTJ ADP PRON PRON VERB VERB PRON VERB VERB PRON CCONJ INTJ PRON VERB PART ADP ADP DET ADJ CCONJ ADV VERB ADP PRON INTJ PRON VERB ADP PROPN PRON VERB CCONJ NOUN	▁Ye ah , ▁well ▁before ▁sh ▁he ▁was ▁born , ▁she ▁stopped ▁doing ▁them ▁and ▁er ▁she ▁phone d ▁up ▁out ▁of ▁the ▁blue ▁and ▁so ▁said ▁to ▁her , ▁no ▁they ▁live ▁at ▁Bo gn or ▁I ▁think ▁or ▁something .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	INTJ INTJ INTJ INTJ ADP PRON PRON VERB VERB VERB PRON VERB VERB PRON CCONJ INTJ PRON VERB VERB PART ADP ADP DET ADJ CCONJ ADV VERB ADP PRON PRON INTJ PRON VERB ADP PROPN PROPN PROPN PRON VERB CCONJ NOUN NOUN
Out of the blue	1 1 0 1	out of the blue	figurative	case	ADP ADP DET ADJ	▁Out ▁of ▁the ▁blue	1 1 0 1	ADP ADP DET ADJ
Then one day, out of the blue there was a miracle — or was it perhaps a fairy tale?	0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	out of the blue	figurative	identical	ADV NUM NOUN ADP ADP DET NOUN ADV VERB DET NOUN PUNCT CCONJ VERB PRON ADV DET NOUN NOUN	▁Then ▁one ▁day , ▁out ▁of ▁the ▁blue ▁there ▁was ▁a ▁miracle ▁ — ▁or ▁was ▁it ▁perhaps ▁a ▁fair y ▁ tale ?	0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV NUM NOUN NOUN ADP ADP DET NOUN ADV VERB DET NOUN PUNCT PUNCT CCONJ VERB PRON ADV DET NOUN NOUN NOUN NOUN NOUN
And as England found to their cost only last month, it is an ideal which still thrives on the Continent, Norway's equaliser coming as it did from a 30-yard out - of - the - blue effort.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0	out of the blue	figurative	dashes	CCONJ ADP PROPN VERB ADP ADJ NOUN ADV ADJ NOUN PRON VERB DET NOUN ADJ ADV VERB ADP DET NOUN PROPN NOUN VERB ADP PRON VERB ADP DET NUM ADJ PUNCT ADP PUNCT DET PUNCT ADJ NOUN	▁And ▁as ▁England ▁found ▁to ▁their ▁cost ▁only ▁last ▁month , ▁it ▁is ▁an ▁ideal ▁which ▁still ▁thr ive s ▁on ▁the ▁Continent , ▁Norway ' s ▁equal iser ▁coming ▁as ▁it ▁did ▁from ▁a ▁30 - yard ▁out ▁- ▁of ▁- ▁the ▁- ▁blue ▁effort .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0	CCONJ ADP PROPN VERB ADP ADJ NOUN ADV ADJ NOUN NOUN PRON VERB DET NOUN ADJ ADV VERB VERB VERB ADP DET NOUN NOUN PROPN PROPN PROPN NOUN NOUN VERB ADP PRON VERB ADP DET NUM NUM NUM ADJ PUNCT ADP PUNCT DET PUNCT ADJ NOUN NOUN
Most of the time one was all right— or at least as all right as one had ever been — and then out of the blue it struck, a hideous uprush of fear, of longing, of shame.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0	out of the blue	figurative	identical	ADJ ADP DET NOUN NUM VERB ADV VERB CCONJ ADP ADJ ADV ADV ADV ADP PRON VERB ADV VERB PUNCT CCONJ ADV ADP ADP DET NOUN PRON VERB DET ADJ NOUN ADP NOUN ADP NOUN ADP NOUN	▁Most ▁of ▁the ▁time ▁one ▁was ▁all ▁right — ▁or ▁at ▁least ▁as ▁all ▁right ▁as ▁one ▁had ▁ever ▁been ▁ — ▁and ▁then ▁out ▁of ▁the ▁blue ▁it ▁struck , ▁a ▁hide ous ▁up rus h ▁of ▁fear , ▁of ▁long ing , ▁of ▁shame .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADJ ADP DET NOUN NUM VERB ADV VERB VERB CCONJ ADP ADJ ADV ADV ADV ADP PRON VERB ADV VERB PUNCT PUNCT CCONJ ADV ADP ADP DET NOUN PRON VERB VERB DET ADJ ADJ NOUN NOUN NOUN ADP NOUN NOUN ADP NOUN NOUN NOUN ADP NOUN NOUN
Convince them you are worth a look and, almost out of the blue, you might end up with 300 words in Kerrang or Echoes or the NME.	0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out of the blue	figurative	identical	VERB PRON PRON VERB ADJ DET NOUN CCONJ ADV ADP ADP DET ADJ PRON VERB VERB PART ADP NUM NOUN ADP PROPN CCONJ PROPN CCONJ DET PROPN	▁Con vi nce ▁them ▁you ▁are ▁worth ▁a ▁look ▁and , ▁almost ▁out ▁of ▁the ▁blue , ▁you ▁might ▁end ▁up ▁with ▁300 ▁words ▁in ▁Kerr ang ▁or ▁E cho es ▁or ▁the ▁N ME .	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	VERB VERB VERB PRON PRON VERB ADJ DET NOUN CCONJ CCONJ ADV ADP ADP DET ADJ ADJ PRON VERB VERB PART ADP NUM NOUN ADP PROPN PROPN CCONJ PROPN PROPN PROPN CCONJ DET PROPN PROPN PROPN
A funny thing for a gyno to say out of the blue — and the first time he's ever looked me in the eye.	0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	out of the blue	figurative	identical	DET ADJ NOUN ADP DET NOUN PART VERB ADP ADP DET ADJ PUNCT CCONJ DET ADJ NOUN PRON ADV VERB PRON ADP DET NOUN	▁A ▁fun ny ▁thing ▁for ▁a ▁g y no ▁to ▁say ▁out ▁of ▁the ▁blue ▁ — ▁and ▁the ▁first ▁time ▁he ' s ▁ever ▁looked ▁me ▁in ▁the ▁eye .	0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET ADJ ADJ NOUN ADP DET NOUN NOUN NOUN PART VERB ADP ADP DET ADJ PUNCT PUNCT CCONJ DET ADJ NOUN PRON PRON PRON ADV VERB PRON ADP DET NOUN NOUN
He trawls for advice and information from dozens of people, who find themselves invited to Kensington Palace quite out of the blue.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	out of the blue	figurative	identical	PRON VERB ADP NOUN CCONJ NOUN ADP NOUN ADP NOUN NOUN VERB PRON VERB ADP PROPN PROPN ADV ADP ADP DET NOUN	▁He ▁trawls ▁for ▁advice ▁and ▁information ▁from ▁dozen s ▁of ▁people , ▁who ▁find ▁themselves ▁invited ▁to ▁K ens ing ton ▁Pal ace ▁quite ▁out ▁of ▁the ▁blue .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1	PRON VERB ADP NOUN CCONJ NOUN ADP NOUN NOUN ADP NOUN NOUN NOUN VERB PRON VERB ADP PROPN PROPN PROPN PROPN PROPN PROPN ADV ADP ADP DET NOUN NOUN
Ursula leapt at her, completely out of the blue.	0 0 0 0 0 1 1 0 1	out of the blue	figurative	identical	NOUN NOUN ADP PRON ADV ADP ADP DET NOUN	▁Ur s ula ▁leap t ▁at ▁her , ▁completely ▁out ▁of ▁the ▁blue .	0 0 0 0 0 0 0 0 0 1 1 0 1 1	NOUN NOUN NOUN NOUN NOUN ADP PRON PRON ADV ADP ADP DET NOUN NOUN
‘ Then I got a phone call out of the blue from Mandy the next morning.	0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0	out of the blue	figurative	identical	PUNCT ADV PRON VERB DET NOUN NOUN ADP ADP DET NOUN ADP PROPN DET ADJ NOUN	▁ ‘ ▁Then ▁I ▁got ▁a ▁phone ▁call ▁out ▁of ▁the ▁blue ▁from ▁Man dy ▁the ▁next ▁morning .	0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0	PUNCT PUNCT ADV PRON VERB DET NOUN NOUN ADP ADP DET NOUN ADP PROPN PROPN DET ADJ NOUN NOUN
And then, out of the blue, as she was getting ready for bed on the evening before Kirsty was due to go off on holiday, Mrs Aitken tapped on Shiona's bedroom door.	0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out of the blue	figurative	identical	CCONJ ADV ADP ADP DET ADJ ADP PRON VERB VERB ADJ ADP NOUN ADP DET NOUN ADP PROPN VERB ADJ PART VERB PART ADP NOUN PROPN PROPN VERB ADP PROPN NOUN NOUN	▁And ▁then , ▁out ▁of ▁the ▁blue , ▁as ▁she ▁was ▁gett ing ▁ready ▁for ▁be d ▁on ▁the ▁evening ▁before ▁Kirs ty ▁was ▁due ▁to ▁go ▁off ▁on ▁holiday , ▁Mrs ▁A it ken ▁ta pped ▁on ▁Shi ona ' s ▁be d room ▁door .	0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	CCONJ ADV ADV ADP ADP DET ADJ ADJ ADP PRON VERB VERB VERB ADJ ADP NOUN NOUN ADP DET NOUN ADP PROPN PROPN VERB ADJ PART VERB PART ADP NOUN NOUN PROPN PROPN PROPN PROPN VERB VERB ADP PROPN PROPN PROPN PROPN NOUN NOUN NOUN NOUN NOUN
Warhurst said : ‘ Ray rang me right out of the blue at 5 pm on Thursday afternoon to say the deal was back on again and would I come to Blackburn.	0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out of the blue	figurative	identical	PROPN VERB PUNCT PUNCT PROPN VERB PRON ADV ADP ADP DET NOUN ADP NUM NOUN ADP PROPN NOUN PART VERB DET NOUN VERB ADV ADV ADV CCONJ VERB PRON VERB ADP PROPN	▁War hurst ▁said ▁ : ▁ ‘ ▁Ray ▁ rang ▁me ▁right ▁out ▁of ▁the ▁blue ▁at ▁5 ▁p m ▁on ▁Thursday ▁afternoon ▁to ▁say ▁the ▁deal ▁was ▁back ▁on ▁again ▁and ▁would ▁I ▁come ▁to ▁Black burn .	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN VERB PUNCT PUNCT PUNCT PUNCT PROPN VERB VERB PRON ADV ADP ADP DET NOUN ADP NUM NOUN NOUN ADP PROPN NOUN PART VERB DET NOUN VERB ADV ADV ADV CCONJ VERB PRON VERB ADP PROPN PROPN PROPN
I did just ask, out of the blue	0 0 0 0 1 1 0 1	out of the blue	figurative	identical	PRON VERB ADV VERB ADP ADP DET ADJ	▁I ▁did ▁just ▁ask , ▁out ▁of ▁the ▁blue	0 0 0 0 0 1 1 0 1	PRON VERB ADV VERB VERB ADP ADP DET ADJ
‘ That's the awful thing, it came out of the blue.	0 0 0 0 0 0 0 1 1 0 1	out of the blue	figurative	identical	PUNCT DET DET ADJ NOUN PRON VERB ADP ADP DET NOUN	▁ ‘ ▁That ' s ▁the ▁awful ▁thing , ▁it ▁came ▁out ▁of ▁the ▁blue .	0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1	PUNCT PUNCT DET DET DET DET ADJ NOUN NOUN PRON VERB ADP ADP DET NOUN NOUN
' Out of the blue.	0 1 1 0 1	out of the blue	figurative	case	PUNCT ADP ADP DET NOUN	▁' ▁Out ▁of ▁the ▁blue .	0 1 1 0 1 1	PUNCT ADP ADP DET NOUN NOUN
shrieks at you out of the blue.	0 0 0 1 1 0 1	out of the blue	figurative	identical	NOUN ADP PRON ADP ADP DET NOUN	▁sh rie ks ▁at ▁you ▁out ▁of ▁the ▁blue .	0 0 0 0 0 1 1 0 1 1	NOUN NOUN NOUN ADP PRON ADP ADP DET NOUN NOUN
Out of the blue, you could say.	1 1 0 1 0 0 0	out of the blue	figurative	case	ADP ADP DET ADJ PRON VERB VERB	▁Out ▁of ▁the ▁blue , ▁you ▁could ▁say .	1 1 0 1 1 0 0 0 0	ADP ADP DET ADJ ADJ PRON VERB VERB VERB
Whereas these things were just like anything out of the blue and it's like all what's what's coming isn't it?	0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0	out of the blue	figurative	identical	ADP DET NOUN VERB ADV ADP NOUN ADP ADP DET ADJ CCONJ PRON ADP DET NOUN NOUN VERB VERB PRON	▁Whereas ▁these ▁things ▁were ▁just ▁like ▁anything ▁out ▁of ▁the ▁blue ▁and ▁it ' s ▁like ▁all ▁what ' s ▁what ' s ▁coming ▁is n ' t ▁it ?	0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP DET NOUN VERB ADV ADP NOUN ADP ADP DET ADJ CCONJ PRON PRON PRON ADP DET NOUN NOUN NOUN NOUN NOUN NOUN VERB VERB VERB VERB VERB PRON PRON
It is an irresistible inference that before 5 p.m. the mother had discussed the question of blood transfusions with her daughter because Miss T. ‘ out of the blue’ according to the nurse raised the subject.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0	out of the blue	figurative	dashes	PRON VERB DET ADJ NOUN ADP ADP NUM ADV DET NOUN VERB VERB DET NOUN ADP NOUN NOUN ADP ADJ NOUN ADP PROPN PROPN PUNCT ADP ADP DET NOUN VERB ADP DET NOUN VERB DET NOUN	▁It ▁is ▁an ▁irre s ist ible ▁in ference ▁that ▁before ▁5 ▁p . m . ▁the ▁mother ▁had ▁discussed ▁the ▁question ▁of ▁blood ▁transfusion s ▁with ▁her ▁daughter ▁because ▁Miss ▁T . ▁ ‘ ▁out ▁of ▁the ▁blue ’ ▁according ▁to ▁the ▁nurse ▁raised ▁the ▁subject .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0	PRON VERB DET ADJ ADJ ADJ ADJ NOUN NOUN ADP ADP NUM ADV ADV ADV ADV DET NOUN VERB VERB DET NOUN ADP NOUN NOUN NOUN ADP ADJ NOUN ADP PROPN PROPN PROPN PUNCT PUNCT ADP ADP DET NOUN NOUN VERB ADP DET NOUN VERB DET NOUN NOUN
‘ This has come out of the blue, and we are due to go to Argentina next summer,’ said Wood.	0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	out of the blue	figurative	identical	PUNCT DET VERB VERB ADP ADP DET ADJ CCONJ PRON VERB ADJ PART VERB ADP PROPN ADJ PROPN VERB PROPN	▁ ‘ ▁This ▁has ▁come ▁out ▁of ▁the ▁blue , ▁and ▁we ▁are ▁due ▁to ▁go ▁to ▁Argentina ▁next ▁summer , ’ ▁said ▁Wood .	0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PUNCT PUNCT DET VERB VERB ADP ADP DET ADJ ADJ CCONJ PRON VERB ADJ PART VERB ADP PROPN ADJ PROPN PROPN PROPN VERB PROPN PROPN
The first intimation of it came out of the blue, but I can not ignore the fact that she has persisted in it.	0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	out of the blue	figurative	identical	DET ADJ NOUN ADP PRON VERB ADP ADP DET ADJ CCONJ PRON VERB ADV VERB DET NOUN ADP PRON VERB VERB ADP PRON	▁The ▁first ▁in tim ation ▁of ▁it ▁came ▁out ▁of ▁the ▁blue , ▁but ▁I ▁can ▁not ▁ignore ▁the ▁fact ▁that ▁she ▁has ▁persist ed ▁in ▁it .	0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET ADJ NOUN NOUN NOUN ADP PRON VERB ADP ADP DET ADJ ADJ CCONJ PRON VERB ADV VERB DET NOUN ADP PRON VERB VERB VERB ADP PRON PRON
Then, like a bolt out of the blue, it came to Sarah.	0 0 0 0 1 1 0 1 0 0 0 0	out of the blue	figurative	identical	ADV ADP DET NOUN ADP ADP DET ADJ PRON VERB ADP PROPN	▁Then , ▁like ▁a ▁bolt ▁out ▁of ▁the ▁blue , ▁it ▁came ▁to ▁Sara h .	0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0	ADV ADV ADP DET NOUN ADP ADP DET ADJ ADJ PRON VERB ADP PROPN PROPN PROPN
Precious moments of light relief came when a couple of friends would turn up out of the blue and say, ‘ Come to the Indian Restaurant’.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0	out of the blue	figurative	identical	ADJ NOUN ADP ADJ NOUN VERB ADV DET NOUN ADP NOUN VERB VERB PART ADP ADP DET ADJ CCONJ VERB PUNCT VERB ADP DET PROPN PROPN	▁Precious ▁moment s ▁of ▁light ▁relief ▁came ▁when ▁a ▁couple ▁of ▁friends ▁would ▁turn ▁up ▁out ▁of ▁the ▁blue ▁and ▁say , ▁ ‘ ▁Com e ▁to ▁the ▁Indian ▁Rest au rant ’ .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADJ NOUN NOUN ADP ADJ NOUN VERB ADV DET NOUN ADP NOUN VERB VERB PART ADP ADP DET ADJ CCONJ VERB VERB PUNCT PUNCT VERB VERB ADP DET PROPN PROPN PROPN PROPN PROPN PROPN
He said he had received a letter ‘ out of the blue’, asking if the museum would like it.	0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0	out of the blue	figurative	dashes	PRON VERB PRON VERB VERB DET NOUN PUNCT ADP ADP DET NOUN VERB ADP DET NOUN VERB VERB PRON	▁He ▁said ▁he ▁had ▁received ▁a ▁letter ▁ ‘ ▁out ▁of ▁the ▁blue ’ , ▁asking ▁if ▁the ▁museum ▁would ▁like ▁it .	0 0 0 0 0 0 0 0 0 1 1 0 1 1 1 0 0 0 0 0 0 0 0	PRON VERB PRON VERB VERB DET NOUN PUNCT PUNCT ADP ADP DET NOUN NOUN NOUN VERB ADP DET NOUN VERB VERB PRON PRON
