As Crilly is taken back into the cells, he catches my eyes.	0 0 0 0 0 0 0 0 0 1 1 1	catch someone's eye	figurative	combined-inflection	ADP PROPN VERB VERB ADV ADP DET NOUN PRON VERB ADJ NOUN	▁As ▁Cr illy ▁is ▁taken ▁back ▁into ▁the ▁cells , ▁he ▁catches ▁my ▁eyes .	0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	ADP PROPN PROPN VERB VERB ADV ADP DET NOUN NOUN PRON VERB ADJ NOUN NOUN
Among the slow - moving crowds slender, graceful Annamese girls wearing traditional skilken ao dai caught their eye again and again.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0	catch someone's eye	figurative	combined-inflection	ADP DET ADV PUNCT VERB NOUN ADJ ADJ ADJ NOUN VERB ADJ ADJ ADP NOUN VERB ADJ NOUN ADV CCONJ ADV	▁Among ▁the ▁slow ▁- ▁moving ▁crowd s ▁sl ender , ▁grace ful ▁An name se ▁girls ▁wearing ▁traditional ▁ski l ken ▁a o ▁da i ▁caught ▁their ▁eye ▁again ▁and ▁again .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0	ADP DET ADV PUNCT VERB NOUN NOUN ADJ ADJ ADJ ADJ ADJ ADJ ADJ ADJ NOUN VERB ADJ ADJ ADJ ADJ ADP ADP NOUN NOUN VERB ADJ NOUN ADV CCONJ ADV ADV
The Under - Secretary will have a chance to catch Mr. Speaker's eye later, no doubt.	0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0	catch someone's eye	figurative	combined-other	DET PROPN PUNCT PROPN VERB VERB DET NOUN PART VERB PROPN PROPN NOUN ADV ADV NOUN	▁The ▁Under ▁- ▁Secretary ▁will ▁have ▁a ▁chance ▁to ▁catch ▁Mr . ▁Speak er ' s ▁eye ▁later , ▁no ▁doubt .	0 0 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 0 0 0 0	DET PROPN PUNCT PROPN VERB VERB DET NOUN PART VERB PROPN PROPN PROPN PROPN PROPN PROPN NOUN ADV ADV ADV NOUN NOUN
Among the chaos and competition, however, one lucky reader caught our eye.	0 0 0 0 0 0 0 0 0 1 1 1	catch someone's eye	figurative	combined-inflection	ADP DET NOUN CCONJ NOUN ADV NUM ADJ NOUN VERB ADJ NOUN	▁Among ▁the ▁chaos ▁and ▁competition , ▁however , ▁one ▁luck y ▁reader ▁caught ▁our ▁eye .	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	ADP DET NOUN CCONJ NOUN NOUN ADV ADV NUM ADJ ADJ NOUN VERB ADJ NOUN NOUN
Either side of him sat a large, so lid man : one caught Marcus's eye and he began an earnest inspection of the floor.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	catch someone's eye	figurative	combined-inflection	DET NOUN ADP PRON VERB DET ADJ ADV ADJ NOUN PUNCT NOUN VERB PROPN NOUN CCONJ PRON VERB DET ADJ NOUN ADP DET NOUN	▁Either ▁side ▁of ▁him ▁sat ▁a ▁large , ▁so ▁ lid ▁man ▁ : ▁one ▁caught ▁Marc us ' s ▁eye ▁and ▁he ▁began ▁an ▁earnest ▁inspection ▁of ▁the ▁floor .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0	DET NOUN ADP PRON VERB DET ADJ ADJ ADV ADJ ADJ NOUN PUNCT PUNCT NOUN VERB PROPN PROPN PROPN PROPN NOUN CCONJ PRON VERB DET ADJ NOUN ADP DET NOUN NOUN
From time to time, too, Jenna caught Alain's dark eyes watching her through the driving mirror, and she was greatly relieved when they began to skirt Paris.	0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	catch someone's eye	figurative	combined-inflection	ADP NOUN ADP NOUN ADV PROPN VERB PROPN ADJ NOUN VERB PRON ADP DET NOUN NOUN CCONJ PRON VERB ADV VERB ADV PRON VERB PART VERB PROPN	▁From ▁time ▁to ▁time , ▁too , ▁J enna ▁caught ▁A lain ' s ▁dark ▁eyes ▁watching ▁her ▁through ▁the ▁driving ▁mirror , ▁and ▁she ▁was ▁greatly ▁relieved ▁when ▁they ▁began ▁to ▁skirt ▁Paris .	0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP NOUN ADP NOUN NOUN ADV ADV PROPN PROPN VERB PROPN PROPN PROPN PROPN ADJ NOUN VERB PRON ADP DET NOUN NOUN NOUN CCONJ PRON VERB ADV VERB ADV PRON VERB PART VERB PROPN PROPN
These lovely curls and the pretty floral headband caught our eye.	0 0 0 0 0 0 0 0 1 1 1	catch someone's eye	figurative	combined-inflection	DET ADJ NOUN CCONJ DET ADV ADJ NOUN VERB ADJ NOUN	▁These ▁love ly ▁curl s ▁and ▁the ▁pretty ▁flora l ▁head band ▁caught ▁our ▁eye .	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	DET ADJ ADJ NOUN NOUN CCONJ DET ADV ADJ ADJ NOUN NOUN VERB ADJ NOUN NOUN
Over Jack's shoulder, she caught her friend's eye and put a finger to her lips.	0 0 0 0 1 0 1 1 0 0 0 0 0 0 0	catch someone's eye	figurative	combined-inflection	ADP PROPN NOUN PRON VERB ADJ NOUN NOUN CCONJ VERB DET NOUN ADP ADJ NOUN	▁Over ▁Jack ' s ▁shoulder , ▁she ▁caught ▁her ▁friend ' s ▁eye ▁and ▁put ▁a ▁finger ▁to ▁her ▁lips .	0 0 0 0 0 0 0 1 0 1 1 1 1 0 0 0 0 0 0 0 0	ADP PROPN PROPN PROPN NOUN NOUN PRON VERB ADJ NOUN NOUN NOUN NOUN CCONJ VERB DET NOUN ADP ADJ NOUN NOUN
An emaciated fellow with jet black hair, thin lips and large brooding eyes caught the friar's eye.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	catch someone's eye	figurative	combined-inflection	DET VERB NOUN ADP NOUN ADJ NOUN ADJ NOUN CCONJ ADJ NOUN NOUN VERB DET NOUN NOUN	▁An ▁em aci ated ▁fellow ▁with ▁jet ▁black ▁hair , ▁thin ▁lips ▁and ▁large ▁brood ing ▁eyes ▁caught ▁the ▁ fri ar ' s ▁eye .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 1 1 1 1	DET VERB VERB VERB NOUN ADP NOUN ADJ NOUN NOUN ADJ NOUN CCONJ ADJ NOUN NOUN NOUN VERB DET NOUN NOUN NOUN NOUN NOUN NOUN NOUN
She looked at Mairi, who happened to glance over and catch her eye ; and the woman howled and started to moan at the very sight of the wee lass.	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	catch someone's eye	figurative	possessive	PRON VERB ADP PROPN NOUN VERB PART VERB PART CCONJ VERB ADJ NOUN PUNCT CCONJ DET NOUN VERB CCONJ VERB PART VERB ADP DET ADJ NOUN ADP DET ADJ NOUN	▁She ▁looked ▁at ▁Ma iri , ▁who ▁happened ▁to ▁glance ▁over ▁and ▁catch ▁her ▁eye ▁ ; ▁and ▁the ▁woman ▁how led ▁and ▁started ▁to ▁mo an ▁at ▁the ▁very ▁sight ▁of ▁the ▁we e ▁la s s .	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB ADP PROPN PROPN PROPN NOUN VERB PART VERB PART CCONJ VERB ADJ NOUN PUNCT PUNCT CCONJ DET NOUN VERB VERB CCONJ VERB PART VERB VERB ADP DET ADJ NOUN ADP DET ADJ ADJ NOUN NOUN NOUN NOUN
He caught Emily's eye on him and looked away quickly.	0 1 1 1 0 0 0 0 0 0	catch someone's eye	figurative	combined-inflection	PRON VERB PROPN NOUN ADP PRON CCONJ VERB ADV ADV	▁He ▁caught ▁Em ily ' s ▁eye ▁on ▁him ▁and ▁looked ▁away ▁quickly .	0 1 1 1 1 1 1 0 0 0 0 0 0 0	PRON VERB PROPN PROPN PROPN PROPN NOUN ADP PRON CCONJ VERB ADV ADV ADV
‘ The crudest joke against the human race lies in that sweaty farce by which we are first formed and given life —’ the words caught his eye.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	catch someone's eye	figurative	combined-inflection	PUNCT DET ADJ NOUN ADP DET ADJ NOUN VERB ADP DET ADJ NOUN ADP ADJ PRON VERB ADV VERB CCONJ VERB NOUN ADV DET NOUN VERB ADJ NOUN	▁ ‘ ▁The ▁crude st ▁joke ▁against ▁the ▁human ▁race ▁lies ▁in ▁that ▁sweat y ▁far ce ▁by ▁which ▁we ▁are ▁first ▁formed ▁and ▁given ▁life ▁ —’ ▁the ▁words ▁caught ▁his ▁eye .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	PUNCT PUNCT DET ADJ ADJ NOUN ADP DET ADJ NOUN VERB ADP DET ADJ ADJ NOUN NOUN ADP ADJ PRON VERB ADV VERB CCONJ VERB NOUN ADV ADV DET NOUN VERB ADJ NOUN NOUN
When the task was almost over Marcus, who had been solemn, caught Ludens's eye in the mirror and smiled, and Ludens smiled too.	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	catch someone's eye	figurative	combined-inflection	ADV DET NOUN VERB ADV ADP PROPN NOUN VERB VERB ADJ VERB PROPN NOUN ADP DET NOUN CCONJ VERB CCONJ PROPN VERB ADV	▁When ▁the ▁task ▁was ▁almost ▁over ▁Marc us , ▁who ▁had ▁been ▁solemn , ▁caught ▁Lu den s ' s ▁eye ▁in ▁the ▁mirror ▁and ▁smile d , ▁and ▁Lu den s ▁smile d ▁too .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV DET NOUN VERB ADV ADP PROPN PROPN PROPN NOUN VERB VERB ADJ ADJ VERB PROPN PROPN PROPN PROPN PROPN NOUN ADP DET NOUN CCONJ VERB VERB VERB CCONJ PROPN PROPN PROPN VERB VERB ADV ADV
Marcus caught his eye and spread his hands in confusion.	0 1 1 1 0 0 0 0 0 0	catch someone's eye	figurative	combined-inflection	PROPN VERB ADJ NOUN CCONJ VERB ADJ NOUN ADP NOUN	▁Marc us ▁caught ▁his ▁eye ▁and ▁spread ▁his ▁hands ▁in ▁confusion .	0 0 1 1 1 0 0 0 0 0 0 0	PROPN PROPN VERB ADJ NOUN CCONJ VERB ADJ NOUN ADP NOUN NOUN
He tried to catch the attendant's eye but the man was already turning away and reaching for the nozzle of the pump hose.	0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	catch someone's eye	figurative	combined-other	PRON VERB PART VERB DET NOUN NOUN CCONJ DET NOUN VERB ADV VERB ADV CCONJ VERB ADP DET NOUN ADP DET NOUN NOUN	▁He ▁tried ▁to ▁catch ▁the ▁attendant ' s ▁eye ▁but ▁the ▁man ▁was ▁already ▁turning ▁away ▁and ▁reaching ▁for ▁the ▁nozzle ▁of ▁the ▁pump ▁ hose .	0 0 0 1 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB PART VERB DET NOUN NOUN NOUN NOUN CCONJ DET NOUN VERB ADV VERB ADV CCONJ VERB ADP DET NOUN ADP DET NOUN NOUN NOUN NOUN
She stepped forward a moment to admire a cabinet of gleaming silver — quite the most beautiful collection imaginable — and it was in that moment that something caught her eye.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	catch someone's eye	figurative	combined-inflection	PRON VERB ADV DET NOUN PART VERB DET NOUN ADP VERB NOUN PUNCT ADJ DET ADV ADJ NOUN ADJ PUNCT CCONJ PRON VERB ADP DET NOUN ADP NOUN VERB ADJ NOUN	▁She ▁stepped ▁forward ▁a ▁moment ▁to ▁admire ▁a ▁cabinet ▁of ▁g lea ming ▁silver ▁ — ▁quite ▁the ▁most ▁beautiful ▁collection ▁ imagin able ▁ — ▁and ▁it ▁was ▁in ▁that ▁moment ▁that ▁something ▁caught ▁her ▁eye .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	PRON VERB ADV DET NOUN PART VERB DET NOUN ADP VERB VERB VERB NOUN PUNCT PUNCT ADJ DET ADV ADJ NOUN ADJ ADJ ADJ PUNCT PUNCT CCONJ PRON VERB ADP DET NOUN ADP NOUN VERB ADJ NOUN NOUN
A big black Labrador, catching his eye, thumped her tail and rolled on her side, looking up at him hopefully.	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	catch someone's eye	figurative	combined-inflection	DET ADJ ADJ PROPN VERB ADJ NOUN VERB ADJ NOUN CCONJ VERB ADP ADJ NOUN VERB PART ADP PRON ADV	▁A ▁big ▁black ▁L ab rad or , ▁catching ▁his ▁eye , ▁th ump ed ▁her ▁tail ▁and ▁rolled ▁on ▁her ▁side , ▁looking ▁up ▁at ▁him ▁hopeful ly .	0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET ADJ ADJ PROPN PROPN PROPN PROPN PROPN VERB ADJ NOUN NOUN VERB VERB VERB ADJ NOUN CCONJ VERB ADP ADJ NOUN NOUN VERB PART ADP PRON ADV ADV ADV
As he stood watching Massingham looked up, caught his eye, and moved down the nave towards him.	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0	catch someone's eye	figurative	combined-inflection	ADP PRON VERB VERB PROPN VERB PART VERB ADJ NOUN CCONJ VERB ADP DET NOUN ADP PRON	▁As ▁he ▁stood ▁watching ▁Mass ing ham ▁looked ▁up , ▁caught ▁his ▁eye , ▁and ▁moved ▁down ▁the ▁na ve ▁towards ▁him .	0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0	ADP PRON VERB VERB PROPN PROPN PROPN VERB PART PART VERB ADJ NOUN NOUN CCONJ VERB ADP DET NOUN NOUN ADP PRON PRON
The series X has a plastic tip as seen in the majority of pole floats these days, the tapered cane stem also caught my eye.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	catch someone's eye	figurative	combined-inflection	DET NOUN PROPN VERB DET ADJ NOUN ADP VERB ADP DET NOUN ADP NOUN VERB DET NOUN DET ADJ NOUN NOUN ADV VERB ADJ NOUN	▁The ▁series ▁X ▁has ▁a ▁plastic ▁tip ▁as ▁seen ▁in ▁the ▁majority ▁of ▁pole ▁float s ▁these ▁days , ▁the ▁tapered ▁cane ▁stem ▁also ▁caught ▁my ▁eye .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	DET NOUN PROPN VERB DET ADJ NOUN ADP VERB ADP DET NOUN ADP NOUN VERB VERB DET NOUN NOUN DET ADJ NOUN NOUN ADV VERB ADJ NOUN NOUN
Someone, a professional contact from the look of him, caught her eye.	0 0 0 0 0 0 0 0 0 1 1 1	catch someone's eye	figurative	combined-inflection	NOUN DET ADJ NOUN ADP DET NOUN ADP PRON VERB ADJ NOUN	▁Some one , ▁a ▁professional ▁contact ▁from ▁the ▁look ▁of ▁him , ▁caught ▁her ▁eye .	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	NOUN NOUN NOUN DET ADJ NOUN ADP DET NOUN ADP PRON PRON VERB ADJ NOUN NOUN
He only just glimpsed the Stones ' garage door sliding to a close, a quick, difficult movement to observe in the darkness, a slight changing of shadows that caught Doyle's eagle eyes.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	catch someone's eye	figurative	combined-inflection	PRON ADV ADV VERB DET PROPN PART NOUN NOUN VERB ADP DET NOUN DET ADJ ADJ NOUN PART VERB ADP DET NOUN DET ADJ NOUN ADP NOUN ADJ VERB NOUN NOUN NOUN	▁He ▁only ▁just ▁glim ps ed ▁the ▁Stone s ▁' ▁gar age ▁door ▁sliding ▁to ▁a ▁close , ▁a ▁quick , ▁difficult ▁movement ▁to ▁observe ▁in ▁the ▁darkness , ▁a ▁slight ▁changing ▁of ▁shadow s ▁that ▁caught ▁Do yl e ' s ▁e a gle ▁eyes .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 0 0 0 1 1	PRON ADV ADV VERB VERB VERB DET PROPN PROPN PART NOUN NOUN NOUN VERB ADP DET NOUN NOUN DET ADJ ADJ ADJ NOUN PART VERB ADP DET NOUN NOUN DET ADJ NOUN ADP NOUN NOUN ADJ VERB NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN
Sometimes, when a party of you are trudging through boggy ground, battered by wind and rain, you catch somebody's eye and the whole thing seems ludicrous.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	catch someone's eye	figurative	combined-other	ADV ADV DET NOUN ADP PRON VERB VERB ADP ADJ NOUN VERB ADP NOUN CCONJ NOUN PRON VERB NOUN NOUN CCONJ DET ADJ NOUN VERB ADJ	▁Sometimes , ▁when ▁a ▁party ▁of ▁you ▁are ▁ tru dging ▁through ▁bog gy ▁ground , ▁bat tered ▁by ▁wind ▁and ▁rain , ▁you ▁catch ▁somebody ' s ▁eye ▁and ▁the ▁whole ▁thing ▁seems ▁lu dic rou s .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0	ADV ADV ADV DET NOUN ADP PRON VERB VERB VERB VERB ADP ADJ ADJ NOUN NOUN VERB VERB ADP NOUN CCONJ NOUN NOUN PRON VERB NOUN NOUN NOUN NOUN CCONJ DET ADJ NOUN VERB ADJ ADJ ADJ ADJ ADJ
The word ‘ Cinemas’ caught his eye, and one of the names seemed familiar.	0 0 0 0 1 1 1 0 0 0 0 0 0 0	catch someone's eye	figurative	combined-inflection	DET NOUN ADJ PROPN VERB ADJ NOUN CCONJ NUM ADP DET NOUN VERB ADJ	▁The ▁word ▁ ‘ ▁Cinema s ’ ▁caught ▁his ▁eye , ▁and ▁one ▁of ▁the ▁names ▁seemed ▁familiar .	0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0	DET NOUN ADJ ADJ PROPN PROPN PROPN VERB ADJ NOUN NOUN CCONJ NUM ADP DET NOUN VERB ADJ ADJ
But Rose Williams caught his eye and her lips curved in a sardonic smile.	0 0 0 1 1 1 0 0 0 0 0 0 0 0	catch someone's eye	figurative	combined-inflection	CCONJ PROPN PROPN VERB ADJ NOUN CCONJ ADJ NOUN VERB ADP DET ADJ NOUN	▁But ▁Rose ▁William s ▁caught ▁his ▁eye ▁and ▁her ▁lips ▁curve d ▁in ▁a ▁s ard onic ▁smile .	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	CCONJ PROPN PROPN PROPN VERB ADJ NOUN CCONJ ADJ NOUN VERB VERB ADP DET ADJ ADJ ADJ NOUN NOUN
It is designed, like a fishing lure, to catch the audience's eye and yield a rich haul at the box - office.	0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0	catch someone's eye	figurative	combined-other	PRON VERB VERB ADP DET NOUN NOUN PART VERB DET NOUN NOUN CCONJ VERB DET ADJ NOUN ADP DET NOUN PUNCT NOUN	▁It ▁is ▁designed , ▁like ▁a ▁fishing ▁l ure , ▁to ▁catch ▁the ▁audience ' s ▁eye ▁and ▁yield ▁a ▁rich ▁haul ▁at ▁the ▁box ▁- ▁office .	0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0	PRON VERB VERB VERB ADP DET NOUN NOUN NOUN NOUN PART VERB DET NOUN NOUN NOUN NOUN CCONJ VERB DET ADJ NOUN ADP DET NOUN PUNCT NOUN NOUN
When a customer buys goods ‘ on impulse’ it is often because something in the window display has caught his eye.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	catch someone's eye	figurative	combined-inflection	ADV DET NOUN VERB NOUN PUNCT ADP NOUN PRON VERB ADV ADP NOUN ADP DET NOUN NOUN VERB VERB ADJ NOUN	▁When ▁a ▁customer ▁buy s ▁goods ▁ ‘ ▁on ▁impulse ’ ▁it ▁is ▁often ▁because ▁something ▁in ▁the ▁window ▁display ▁has ▁caught ▁his ▁eye .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	ADV DET NOUN VERB VERB NOUN PUNCT PUNCT ADP NOUN NOUN PRON VERB ADV ADP NOUN ADP DET NOUN NOUN VERB VERB ADJ NOUN NOUN
The first thing to catch my eye were the floats, and in particular the ones that suited my local river — the Trent.	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	catch someone's eye	figurative	possessive	DET ADJ NOUN PART VERB ADJ NOUN VERB DET NOUN CCONJ ADP ADJ DET NOUN ADJ VERB ADJ ADJ NOUN PUNCT DET PROPN	▁The ▁first ▁thing ▁to ▁catch ▁my ▁eye ▁were ▁the ▁float s , ▁and ▁in ▁particular ▁the ▁ones ▁that ▁suited ▁my ▁local ▁river ▁ — ▁the ▁T rent .	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET ADJ NOUN PART VERB ADJ NOUN VERB DET NOUN NOUN NOUN CCONJ ADP ADJ DET NOUN ADJ VERB ADJ ADJ NOUN PUNCT PUNCT DET PROPN PROPN PROPN
It is useful to start with a copy of the advertisement which originally caught your eye, for the reasons mentioned in Chapter 1.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0	catch someone's eye	figurative	combined-inflection	PRON VERB ADJ PART VERB ADP DET NOUN ADP DET NOUN ADJ ADV VERB ADJ NOUN ADP DET NOUN VERB ADP NOUN NUM	▁It ▁is ▁useful ▁to ▁start ▁with ▁a ▁copy ▁of ▁the ▁advertisement ▁which ▁originally ▁caught ▁your ▁eye , ▁for ▁the ▁reasons ▁mentioned ▁in ▁Chapter ▁1.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0	PRON VERB ADJ PART VERB ADP DET NOUN ADP DET NOUN ADJ ADV VERB ADJ NOUN NOUN ADP DET NOUN VERB ADP NOUN NUM
In order to finance an 11 month trip around the world shooting anything and everything that caught his well - honed eye, he sold his most treasured and expensive possession, his home.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0	catch someone's eye	figurative	combined-inflection	ADP NOUN PART VERB DET NUM NOUN NOUN ADP DET NOUN VERB NOUN CCONJ NOUN ADJ VERB ADJ ADV PUNCT VERB NOUN PRON VERB ADJ ADV ADJ CCONJ ADJ NOUN ADJ NOUN	▁In ▁order ▁to ▁finance ▁an ▁11 ▁month ▁trip ▁around ▁the ▁world ▁shooting ▁anything ▁and ▁everything ▁that ▁caught ▁his ▁well ▁- ▁ho ned ▁eye , ▁he ▁sold ▁his ▁most ▁treasure d ▁and ▁expensive ▁possession , ▁his ▁home .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP NOUN PART VERB DET NUM NOUN NOUN ADP DET NOUN VERB NOUN CCONJ NOUN ADJ VERB ADJ ADV PUNCT VERB VERB NOUN NOUN PRON VERB ADJ ADV ADJ ADJ CCONJ ADJ NOUN NOUN ADJ NOUN NOUN
She caught my eye expressively as Dr Curtis voiced our thoughts.	0 1 1 1 0 0 0 0 0 0 0	catch someone's eye	figurative	combined-inflection	PRON VERB ADJ NOUN ADV ADP PROPN PROPN VERB ADJ NOUN	▁She ▁caught ▁my ▁eye ▁express ively ▁as ▁Dr ▁Cur tis ▁voice d ▁our ▁thoughts .	0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	PRON VERB ADJ NOUN ADV ADV ADP PROPN PROPN PROPN VERB VERB ADJ NOUN NOUN
Yanto caught his eye with a nod.	0 1 1 1 0 0 0	catch someone's eye	figurative	combined-inflection	NOUN VERB ADJ NOUN ADP DET NOUN	▁Y ant o ▁caught ▁his ▁eye ▁with ▁a ▁no d .	0 0 0 1 1 1 0 0 0 0 0	NOUN NOUN NOUN VERB ADJ NOUN ADP DET NOUN NOUN NOUN
As she was thinking this, Carmella caught Hana's eye.	0 0 0 0 0 0 1 1 1	catch someone's eye	figurative	combined-inflection	ADP PRON VERB VERB DET PROPN VERB PROPN NOUN	▁As ▁she ▁was ▁thinking ▁this , ▁Car m ella ▁caught ▁Han a ' s ▁eye .	0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1	ADP PRON VERB VERB DET DET PROPN PROPN PROPN VERB PROPN PROPN PROPN PROPN NOUN NOUN
Then he caught Taheb's eye and lowered his own with a slight cough.	0 0 1 1 1 0 0 0 0 0 0 0 0	catch someone's eye	figurative	combined-inflection	ADV PRON VERB PROPN NOUN CCONJ VERB ADJ ADJ ADP DET ADJ NOUN	▁Then ▁he ▁caught ▁Ta he b ' s ▁eye ▁and ▁lowered ▁his ▁own ▁with ▁a ▁slight ▁cough .	0 0 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0	ADV PRON VERB PROPN PROPN PROPN PROPN PROPN NOUN CCONJ VERB ADJ ADJ ADP DET ADJ NOUN NOUN
As I looked round in the pale dawn light, a piece of paper caught my eye.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	catch someone's eye	figurative	combined-inflection	ADP PRON VERB ADV ADP DET ADJ NOUN NOUN DET NOUN ADP NOUN VERB ADJ NOUN	▁As ▁I ▁looked ▁round ▁in ▁the ▁pale ▁dawn ▁light , ▁a ▁piece ▁of ▁paper ▁caught ▁my ▁eye .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	ADP PRON VERB ADV ADP DET ADJ NOUN NOUN NOUN DET NOUN ADP NOUN VERB ADJ NOUN NOUN
Yanto silently caught Billy's eye and flicked his own eyes to the right.	0 0 1 1 1 0 0 0 0 0 0 0 0	catch someone's eye	figurative	combined-inflection	NOUN ADV VERB PROPN NOUN CCONJ VERB ADJ ADJ NOUN ADP DET NOUN	▁Y ant o ▁silent ly ▁caught ▁B illy ' s ▁eye ▁and ▁f lick ed ▁his ▁own ▁eyes ▁to ▁the ▁right .	0 0 0 0 0 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0	NOUN NOUN NOUN ADV ADV VERB PROPN PROPN PROPN PROPN NOUN CCONJ VERB VERB VERB ADJ ADJ NOUN ADP DET NOUN NOUN
